suite,case_id,model,rc,lf,gf,total,n_tools,tool_freq,tokens,elapsed_s,resp_len,run_dir
paper-cases-fix,test-definition-likely,gemini-3.1-flash-lite-preview,0,0,0,0,23,"{""code"": 20, ""frame"": 2, ""p"": 1}",1903,28.695,23,bench/results/paper-cases-fix/test-definition-likely__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
paper-cases-fix,test-definition-likely,gpt-5.5,1,1,1,3,10,"{""code"": 1, ""definition"": 3, ""frame"": 1, ""expr"": 5}",3244,37.597,3158,bench/results/paper-cases-fix/test-definition-likely__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
paper-cases-fix,test-deep-recursion,nemotron-3-nano-30b-a3b,1,1,1,3,9,"{""code"": 7, ""frame"": 1, ""definition"": 1}",5291,85.325,4402,bench/results/paper-cases-fix/test-deep-recursion__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
paper-cases-fix,test-definition-likely,nemotron-3-nano-30b-a3b,1,1,1,3,4,"{""code"": 2, ""definition"": 2}",7744,129.237,5663,bench/results/paper-cases-fix/test-definition-likely__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
paper-cases-fix,test-deep-recursion,qwen3-30b-a3b-instruct-2507,1,1,0,2,16,"{""frame"": 1, ""code"": 3, ""definition"": 4, ""expr"": 3, ""print"": 5}",4947,27.724,4730,bench/results/paper-cases-fix/test-deep-recursion__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
paper-cases-fix,test-deep-recursion,gemini-3.1-flash-lite-preview,0,0,0,0,19,"{""code"": 16, ""thread"": 1, ""frame"": 2}",1696,21.074,19,bench/results/paper-cases-fix/test-deep-recursion__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1
paper-cases-fix,test-deep-recursion,gpt-5.5,1,1,1,3,19,"{""code"": 1, ""definition"": 8, ""frame"": 6, ""expr"": 4}",4071,36.519,3292,bench/results/paper-cases-fix/test-deep-recursion__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,intoverflow-alloc,nemotron-3-nano-30b-a3b,1,1,1,3,2,"{""frame"": 1, ""definition"": 1}",4238,72.736,5167,bench/results/full-synthetic-v1-stripped/intoverflow-alloc__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,off-by-one-crc,nemotron-3-nano-30b-a3b,1,1,0,2,0,{},3966,36.917,3483,bench/results/full-synthetic-v1-stripped/off-by-one-crc__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,double-free-errpath,qwen3-30b-a3b-instruct-2507,1,0,1,2,11,"{""frame"": 5, ""code"": 4, ""definition"": 2}",4646,29.07,7068,bench/results/full-synthetic-v1-stripped/double-free-errpath__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
