case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
bc-heap-overflow,1,anthropic-claude-sonnet-4-5,ok,207.166,36,13774,True,True,True,,True
berry-1,1,anthropic-claude-sonnet-4-5,ok,89.895,34,5327,True,True,True,,True
berry-2,1,anthropic-claude-sonnet-4-5,ok,94.323,32,6975,True,True,True,,True
berry-3,1,anthropic-claude-sonnet-4-5,ok,389.394,54,53088,True,True,True,,True
berry-4,1,anthropic-claude-sonnet-4-5,ok,77.293,18,7278,True,True,True,,True
berry-5,1,anthropic-claude-sonnet-4-5,ok,107.518,26,6863,True,True,True,,True
crashbench-abo2,1,anthropic-claude-sonnet-4-5,ok,58.05,7,2698,True,True,True,,True
crashbench-abo8,1,anthropic-claude-sonnet-4-5,ok,38.234,7,2943,True,True,True,,True
man-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
polymorph-overflow,1,anthropic-claude-sonnet-4-5,build_failed,0.0,,0,False,False,False,,False
bc-heap-overflow,1,google-gemini-2-5-flash,ok,59.347,23,21249,True,True,True,,True
crashbench-abo1,1,google-gemini-2-5-flash,ok,7.616,4,2404,True,True,True,,True
crashbench-abo2,1,google-gemini-2-5-flash,ok,8.59,5,2156,True,True,True,,True
crashbench-abo3,1,google-gemini-2-5-flash,ok,9.008,4,1916,True,True,True,,True
crashbench-abo5,1,google-gemini-2-5-flash,ok,8.595,4,2917,True,True,True,,True
crashbench-abo7,1,google-gemini-2-5-flash,ok,9.628,4,2601,True,True,True,,True
crashbench-abo8,1,google-gemini-2-5-flash,ok,10.118,4,1799,True,True,True,,True
juliet-cwe121-char-type-overrun-memcpy-01,1,google-gemini-2-5-flash,ok,15.2,6,3918,True,True,True,,True
juliet-cwe122-char-type-overrun-memcpy-01,1,google-gemini-2-5-flash,ok,10.741,6,4140,True,True,True,,True
juliet-cwe126-char-alloca-loop-01,1,google-gemini-2-5-flash,ok,8.414,4,2525,True,True,True,,True
juliet-cwe415-malloc-free-char-01,1,google-gemini-2-5-flash,ok,6.951,4,1896,True,True,True,,True
juliet-cwe416-malloc-free-char-01,1,google-gemini-2-5-flash,ok,10.388,4,2047,True,True,True,,True
man-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
ncompress-overflow,1,google-gemini-2-5-flash,build_failed,0.0,,0,False,False,False,,False
