owner,case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
anika,bc-heap-overflow,1,anthropic/claude-sonnet-4.5,ok,78.89,15,5718,True,True,True,recovered_from_tool_output_partial_prose,True
anika,berry-1,1,anthropic/claude-sonnet-4.5,no_collect,9.143,,0,False,False,False,,False
anika,berry-2,1,anthropic/claude-sonnet-4.5,ok,256.661,102,96,False,False,False,,True
anika,berry-3,1,anthropic/claude-sonnet-4.5,no_collect,10.366,,0,False,False,False,,False
anika,berry-4,1,anthropic/claude-sonnet-4.5,ok,289.011,102,121,False,False,False,,True
anika,berry-5,1,anthropic/claude-sonnet-4.5,ok,147.313,39,9759,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo2,1,anthropic/claude-sonnet-4.5,ok,48.333,8,2839,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo8,1,anthropic/claude-sonnet-4.5,ok,50.798,8,3167,True,True,True,recovered_from_tool_output_partial_prose,True
anika,man-overflow,1,anthropic/claude-sonnet-4.5,build_failed,0.0,,0,False,False,False,,False
anika,ncompress-overflow,1,anthropic/claude-sonnet-4.5,ok,86.953,20,5196,True,True,True,recovered_from_tool_output_partial_prose,True
anika,polymorph-overflow,1,anthropic/claude-sonnet-4.5,ok,81.342,16,7011,True,True,True,recovered_from_tool_output_partial_prose,True
anika,bc-heap-overflow,1,google/gemini-2.5-flash,ok,46.29,6,4776,True,True,True,,True
anika,crashbench-abo1,1,google/gemini-2.5-flash,ok,38.068,5,2555,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo2,1,google/gemini-2.5-flash,ok,31.373,5,2303,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo3,1,google/gemini-2.5-flash,ok,27.242,5,2399,True,True,True,,True
anika,crashbench-abo5,1,google/gemini-2.5-flash,ok,26.818,5,3649,True,True,True,recovered_from_tool_output_partial_prose,True
anika,crashbench-abo7,1,google/gemini-2.5-flash,ok,23.543,5,2212,True,True,True,,True
anika,crashbench-abo8,1,google/gemini-2.5-flash,ok,18.574,5,2374,True,True,True,,True
anika,juliet-cwe121-char-type-overrun-memcpy-01,1,google/gemini-2.5-flash,ok,16.086,5,2930,True,True,True,recovered_from_tool_output_partial_prose,True
anika,juliet-cwe122-char-type-overrun-memcpy-01,1,google/gemini-2.5-flash,ok,25.989,5,2561,True,True,True,,True
anika,juliet-cwe126-char-alloca-loop-01,1,google/gemini-2.5-flash,ok,19.074,5,2112,True,True,True,,True
anika,juliet-cwe415-malloc-free-char-01,1,google/gemini-2.5-flash,ok,19.794,5,2088,True,True,True,,True
anika,juliet-cwe416-malloc-free-char-01,1,google/gemini-2.5-flash,ok,21.56,5,2254,True,True,True,,True
anika,man-overflow,1,google/gemini-2.5-flash,build_failed,0.0,,0,False,False,False,,False
anika,ncompress-overflow,1,google/gemini-2.5-flash,ok,254.301,7,2806,True,True,True,,True
anika,polymorph-overflow,1,google/gemini-2.5-flash,ok,31.673,6,3089,True,True,True,,True
anika,bc-heap-overflow,1,google/gemini-3.1-flash-lite-preview,ok,14.21,7,1385,True,True,True,recovered_from_tool_output,True
anika,berry-1,1,google/gemini-3.1-flash-lite-preview,ok,29.705,19,1129,True,True,True,recovered_from_tool_output,True
anika,berry-2,1,google/gemini-3.1-flash-lite-preview,ok,157.401,100,0,False,False,False,,True
anika,berry-3,1,google/gemini-3.1-flash-lite-preview,ok,111.434,100,0,False,False,False,,True
anika,berry-4,1,google/gemini-3.1-flash-lite-preview,ok,150.751,100,0,False,False,False,,True
anika,berry-5,1,google/gemini-3.1-flash-lite-preview,ok,19.899,12,1407,True,True,True,recovered_from_tool_output,True
anika,man-overflow,1,google/gemini-3.1-flash-lite-preview,build_failed,0.0,,0,False,False,False,,False
anika,ncompress-overflow,1,google/gemini-3.1-flash-lite-preview,ok,12.926,6,1507,True,True,True,recovered_from_tool_output,True
anika,polymorph-overflow,1,google/gemini-3.1-flash-lite-preview,ok,32.515,12,1388,True,True,True,recovered_from_tool_output,True
anika,bc-heap-overflow,1,meta-llama/llama-3.1-8b-instruct,ok,22.012,7,892,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo1,1,meta-llama/llama-3.1-8b-instruct,ok,15.959,3,544,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo2,1,meta-llama/llama-3.1-8b-instruct,ok,16.249,3,546,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo3,1,meta-llama/llama-3.1-8b-instruct,ok,16.888,3,589,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo5,1,meta-llama/llama-3.1-8b-instruct,ok,19.082,3,1345,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo7,1,meta-llama/llama-3.1-8b-instruct,ok,16.206,3,668,True,True,True,recovered_from_tool_output,True
anika,crashbench-abo8,1,meta-llama/llama-3.1-8b-instruct,ok,16.414,3,984,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe121-char-type-overrun-memcpy-01,1,meta-llama/llama-3.1-8b-instruct,ok,14.634,3,768,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe122-char-type-overrun-memcpy-01,1,meta-llama/llama-3.1-8b-instruct,ok,15.205,3,900,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe126-char-alloca-loop-01,1,meta-llama/llama-3.1-8b-instruct,ok,15.375,3,636,True,True,True,recovered_from_tool_output,True
anika,juliet-cwe415-malloc-free-char-01,1,meta-llama/llama-3.1-8b-instruct,ok,16.803,3,650,True,True,True,recovered_from_tool_output,True
