bug,tier,model,status,exit_code,elapsed_s,has_collect,rc,lf,gf,judged
berry-1,tier1,openrouter_google_gemini-2.5-flash,ok,0,13.094,True,1,1,0,True
berry-1,tier1,openrouter_meta-llama_llama-3.1-8b-instruct,ok,0,14.391,True,0,0,0,True
berry-1,tier1,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.113,True,0,0,0,True
berry-1,tier1,openrouter_openai_gpt-4o,ok,0,79.317,True,0,0,0,True
berry-1,tier1,openrouter_openai_gpt-5.5,ok,0,43.86,True,1,1,1,True
berry-1,tier1,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,48.186,True,1,1,0,True
berry-1,tier2,openrouter_google_gemini-2.5-flash,ok,0,35.598,True,0,0,0,True
berry-1,tier2,openrouter_meta-llama_llama-3.1-8b-instruct,timeout,-1,600.056,False,0,0,0,True
berry-1,tier2,openrouter_nvidia_nemotron-3-nano-30b-a3b,timeout,-1,600.065,False,0,0,0,True
berry-1,tier2,openrouter_openai_gpt-4o,ok,0,171.108,True,0,0,0,True
berry-1,tier2,openrouter_openai_gpt-5.5,ok,0,88.417,True,1,1,1,True
berry-1,tier2,openrouter_qwen_qwen3-30b-a3b-instruct-2507,timeout,-1,600.116,False,0,0,0,True
berry-1,tier3,openrouter_google_gemini-2.5-flash,no_collect,0,19.569,False,0,0,0,True
berry-1,tier3,openrouter_meta-llama_llama-3.1-8b-instruct,no_collect,-9,20.464,False,0,0,0,True
berry-1,tier3,openrouter_nvidia_nemotron-3-nano-30b-a3b,no_collect,-9,19.85,False,0,0,0,True
berry-1,tier3,openrouter_openai_gpt-4o,ok,0,18.408,True,0,0,0,True
berry-1,tier3,openrouter_openai_gpt-5.5,timeout,-1,600.011,False,0,0,0,True
berry-1,tier3,openrouter_qwen_qwen3-30b-a3b-instruct-2507,ok,0,57.701,True,0,0,0,True
berry-1,tier4,openrouter_anthropic_claude-haiku-4.5,ok,0,53.211,True,1,1,1,True
berry-1,tier4,openrouter_anthropic_claude-opus-4.7,ok,0,36.263,True,1,1,1,True
berry-1,tier4,openrouter_anthropic_claude-sonnet-4.6,ok,0,30.797,True,1,1,0,True
