case,model,tier1,tier3
bc-heap-overflow,GPT-5.5,,
bc-heap-overflow,GPT-4o,3,0
bc-heap-overflow,Sonnet-4.5,,
bc-heap-overflow,Gemini-FL,,
bc-heap-overflow,Gemini-FL-Lite,,
bc-heap-overflow,Qwen-30B,2,2
bc-heap-overflow,Nemotron-30B,,3
bc-heap-overflow,Llama-8B,,0
berry-1,GPT-5.5,3,
berry-1,GPT-4o,0,0
berry-1,Sonnet-4.5,,
berry-1,Gemini-FL,2,
berry-1,Gemini-FL-Lite,,
berry-1,Qwen-30B,2,0
berry-1,Nemotron-30B,,0
berry-1,Llama-8B,0,0
berry-2,GPT-5.5,0,
berry-2,GPT-4o,0,0
berry-2,Sonnet-4.5,,
berry-2,Gemini-FL,0,0
berry-2,Gemini-FL-Lite,,
berry-2,Qwen-30B,0,0
berry-2,Nemotron-30B,,
berry-2,Llama-8B,0,0
berry-3,GPT-5.5,3,
berry-3,GPT-4o,0,0
berry-3,Sonnet-4.5,,
berry-3,Gemini-FL,0,0
berry-3,Gemini-FL-Lite,,
berry-3,Qwen-30B,0,0
berry-3,Nemotron-30B,,
berry-3,Llama-8B,0,0
berry-4,GPT-5.5,2,1
berry-4,GPT-4o,0,0
berry-4,Sonnet-4.5,,
berry-4,Gemini-FL,1,0
berry-4,Gemini-FL-Lite,,
berry-4,Qwen-30B,0,0
berry-4,Nemotron-30B,,
berry-4,Llama-8B,0,0
berry-5,GPT-5.5,3,
berry-5,GPT-4o,0,0
berry-5,Sonnet-4.5,,
berry-5,Gemini-FL,0,0
berry-5,Gemini-FL-Lite,,
berry-5,Qwen-30B,,0
berry-5,Nemotron-30B,,0
berry-5,Llama-8B,0,0
cb-abo1,GPT-5.5,3,0
cb-abo1,GPT-4o,,
cb-abo1,Sonnet-4.5,2,
cb-abo1,Gemini-FL,,
cb-abo1,Gemini-FL-Lite,2,2
cb-abo1,Qwen-30B,2,1
cb-abo1,Nemotron-30B,0,2
cb-abo1,Llama-8B,,
cb-abo2,GPT-5.5,3,3
cb-abo2,GPT-4o,,
cb-abo2,Sonnet-4.5,2,
cb-abo2,Gemini-FL,,
cb-abo2,Gemini-FL-Lite,1,
cb-abo2,Qwen-30B,2,2
cb-abo2,Nemotron-30B,,1
cb-abo2,Llama-8B,,
cb-abo3,GPT-5.5,,0
cb-abo3,GPT-4o,,
cb-abo3,Sonnet-4.5,2,2
cb-abo3,Gemini-FL,,
cb-abo3,Gemini-FL-Lite,2,2
cb-abo3,Qwen-30B,,2
cb-abo3,Nemotron-30B,,0
cb-abo3,Llama-8B,,
cb-abo5,GPT-5.5,3,2
cb-abo5,GPT-4o,,
cb-abo5,Sonnet-4.5,2,0
cb-abo5,Gemini-FL,,
cb-abo5,Gemini-FL-Lite,2,2
cb-abo5,Qwen-30B,,1
cb-abo5,Nemotron-30B,,
cb-abo5,Llama-8B,,
cb-abo7,GPT-5.5,3,3
cb-abo7,GPT-4o,,
cb-abo7,Sonnet-4.5,2,
cb-abo7,Gemini-FL,,
cb-abo7,Gemini-FL-Lite,1,0
cb-abo7,Qwen-30B,2,1
cb-abo7,Nemotron-30B,,0
cb-abo7,Llama-8B,,
cb-abo8,GPT-5.5,3,2
cb-abo8,GPT-4o,,
cb-abo8,Sonnet-4.5,,2
cb-abo8,Gemini-FL,,
cb-abo8,Gemini-FL-Lite,1,1
cb-abo8,Qwen-30B,1,1
cb-abo8,Nemotron-30B,1,2
cb-abo8,Llama-8B,,
j-121,GPT-5.5,3,3
j-121,GPT-4o,,
j-121,Sonnet-4.5,2,0
j-121,Gemini-FL,,
j-121,Gemini-FL-Lite,2,2
j-121,Qwen-30B,2,2
j-121,Nemotron-30B,0,2
j-121,Llama-8B,,
j-122,GPT-5.5,3,3
j-122,GPT-4o,,
j-122,Sonnet-4.5,3,3
j-122,Gemini-FL,,
j-122,Gemini-FL-Lite,2,2
j-122,Qwen-30B,3,
j-122,Nemotron-30B,0,2
j-122,Llama-8B,,
j-126,GPT-5.5,3,3
j-126,GPT-4o,,
j-126,Sonnet-4.5,0,3
j-126,Gemini-FL,,
j-126,Gemini-FL-Lite,2,3
j-126,Qwen-30B,0,3
j-126,Nemotron-30B,0,3
j-126,Llama-8B,,
j-415,GPT-5.5,3,3
j-415,GPT-4o,,
j-415,Sonnet-4.5,0,
j-415,Gemini-FL,,
j-415,Gemini-FL-Lite,2,2
j-415,Qwen-30B,,
j-415,Nemotron-30B,0,3
j-415,Llama-8B,,
j-416,GPT-5.5,3,3
j-416,GPT-4o,,
j-416,Sonnet-4.5,0,3
j-416,Gemini-FL,,
j-416,Gemini-FL-Lite,1,3
j-416,Qwen-30B,0,0
j-416,Nemotron-30B,1,0
j-416,Llama-8B,,
man-overflow,GPT-5.5,,
man-overflow,GPT-4o,2,
man-overflow,Sonnet-4.5,,
man-overflow,Gemini-FL,,
man-overflow,Gemini-FL-Lite,,
man-overflow,Qwen-30B,0,
man-overflow,Nemotron-30B,,
man-overflow,Llama-8B,,
ncompress-overflow,GPT-5.5,,
ncompress-overflow,GPT-4o,,2
ncompress-overflow,Sonnet-4.5,,
ncompress-overflow,Gemini-FL,,
ncompress-overflow,Gemini-FL-Lite,,
ncompress-overflow,Qwen-30B,,3
ncompress-overflow,Nemotron-30B,,3
ncompress-overflow,Llama-8B,,0
polymorph-overflow,GPT-5.5,,
polymorph-overflow,GPT-4o,3,
polymorph-overflow,Sonnet-4.5,,
polymorph-overflow,Gemini-FL,,
polymorph-overflow,Gemini-FL-Lite,,
polymorph-overflow,Qwen-30B,0,
polymorph-overflow,Nemotron-30B,,
polymorph-overflow,Llama-8B,,
