panel,case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source
synthetic,cjson-parse-string-oob,1,anthropic claude-sonnet-4.5,ok,69.913,21,5265,True,True,True,
synthetic,cjson-parse-string-oob,1,google gemini-3.1-flash-lite-preview,ok,25.686,22,1236,True,True,True,recovered_from_tool_output
synthetic,cjson-parse-string-oob,1,meta-llama llama-3.1-8b-instruct,ok,115.077,16,4321,True,True,True,
synthetic,cjson-parse-string-oob,1,nvidia nemotron-3-nano-30b-a3b,timeout,578.007,,0,False,False,False,
synthetic,cjson-parse-string-oob,1,openai gpt-4o,ok,39.059,9,1054,True,True,True,recovered_from_tool_output
synthetic,cjson-parse-string-oob,1,openai gpt-5.5,ok,39.848,12,3556,True,True,True,
synthetic,cjson-parse-string-oob,1,qwen qwen3-30b-a3b-instruct-2507,timeout,2375.789,,0,False,False,False,
synthetic,cjson-parse-string-oob,1,x-ai grok-4,ok,66.381,6,1621,True,True,True,
synthetic,cjson-parse-string-oob,3,anthropic claude-sonnet-4.5,ok,29.852,5,517,False,False,False,
synthetic,cjson-parse-string-oob,3,google gemini-3.1-flash-lite-preview,ok,26.169,20,20,False,False,False,
synthetic,cjson-parse-string-oob,3,meta-llama llama-3.1-8b-instruct,ok,34.519,5,5558,True,True,True,
synthetic,cjson-parse-string-oob,3,nvidia nemotron-3-nano-30b-a3b,ok,58.675,3,7418,False,False,False,
synthetic,cjson-parse-string-oob,3,openai gpt-4o,ok,16.689,7,1976,True,True,True,
synthetic,cjson-parse-string-oob,3,openai gpt-5.5,ok,245.415,59,7091,False,False,False,
synthetic,cjson-parse-string-oob,3,qwen qwen3-30b-a3b-instruct-2507,ok,24.561,12,7734,False,False,False,
synthetic,cjson-parse-string-oob,3,x-ai grok-4,ok,67.942,2,551,False,False,False,
synthetic,double-free-errpath,1,anthropic claude-sonnet-4.5,ok,17.693,6,1011,False,False,False,
synthetic,double-free-errpath,1,google gemini-3.1-flash-lite-preview,ok,10.54,8,701,True,True,True,
synthetic,double-free-errpath,1,meta-llama llama-3.1-8b-instruct,ok,86.872,13,10923,True,True,True,
synthetic,double-free-errpath,1,nvidia nemotron-3-nano-30b-a3b,ok,63.683,6,0,False,False,False,
synthetic,double-free-errpath,1,openai gpt-4o,ok,23.585,5,909,True,True,True,recovered_from_tool_output
synthetic,double-free-errpath,1,openai gpt-5.5,ok,30.849,3,3162,True,True,True,
synthetic,double-free-errpath,1,qwen qwen3-30b-a3b-instruct-2507,ok,14.071,5,3167,True,True,True,
synthetic,double-free-errpath,1,x-ai grok-4,ok,83.479,5,2466,True,True,True,
synthetic,double-free-errpath,3,anthropic claude-sonnet-4.5,ok,10.147,1,104,False,False,False,
synthetic,double-free-errpath,3,google gemini-3.1-flash-lite-preview,ok,19.275,18,18,False,False,False,
synthetic,double-free-errpath,3,meta-llama llama-3.1-8b-instruct,ok,31.24,0,5326,True,True,True,
synthetic,double-free-errpath,3,nvidia nemotron-3-nano-30b-a3b,ok,83.076,1,3779,False,False,False,
synthetic,double-free-errpath,3,openai gpt-4o,ok,18.559,6,2492,False,True,False,
synthetic,double-free-errpath,3,openai gpt-5.5,ok,54.071,20,4789,False,False,False,
synthetic,double-free-errpath,3,qwen qwen3-30b-a3b-instruct-2507,ok,15.294,5,3480,False,False,False,
synthetic,double-free-errpath,3,x-ai grok-4,ok,85.844,1,381,False,False,False,
synthetic,heap-overflow-csv,1,anthropic claude-sonnet-4.5,ok,36.446,6,3311,True,True,True,
synthetic,heap-overflow-csv,1,google gemini-3.1-flash-lite-preview,ok,11.171,4,960,True,True,True,recovered_from_tool_output
synthetic,heap-overflow-csv,1,meta-llama llama-3.1-8b-instruct,timeout,582.063,,0,False,False,False,
synthetic,heap-overflow-csv,1,nvidia nemotron-3-nano-30b-a3b,ok,188.807,4,719,True,True,True,
synthetic,heap-overflow-csv,1,openai gpt-4o,ok,19.637,4,1142,True,True,True,
synthetic,heap-overflow-csv,1,openai gpt-5.5,ok,25.407,3,560,False,False,False,
synthetic,heap-overflow-csv,1,qwen qwen3-30b-a3b-instruct-2507,ok,33.417,4,1444,False,False,False,
synthetic,heap-overflow-csv,1,x-ai grok-4,ok,44.576,4,1429,True,True,True,
synthetic,heap-overflow-csv,3,anthropic claude-sonnet-4.5,ok,18.189,2,132,False,False,False,
synthetic,heap-overflow-csv,3,google gemini-3.1-flash-lite-preview,ok,11.212,6,6,False,False,False,
synthetic,heap-overflow-csv,3,meta-llama llama-3.1-8b-instruct,ok,30.401,0,4620,True,True,True,
synthetic,heap-overflow-csv,3,nvidia nemotron-3-nano-30b-a3b,ok,37.482,1,3389,False,False,False,
synthetic,heap-overflow-csv,3,openai gpt-4o,ok,15.843,7,1640,True,True,True,
synthetic,heap-overflow-csv,3,openai gpt-5.5,ok,78.035,22,3515,False,False,False,
synthetic,heap-overflow-csv,3,qwen qwen3-30b-a3b-instruct-2507,ok,24.324,14,4038,False,False,False,
synthetic,heap-overflow-csv,3,x-ai grok-4,ok,76.411,2,244,False,False,False,
synthetic,intoverflow-alloc,1,anthropic claude-sonnet-4.5,ok,44.962,10,3049,True,True,True,
synthetic,intoverflow-alloc,1,google gemini-3.1-flash-lite-preview,ok,15.097,9,1657,True,True,True,recovered_from_tool_output
synthetic,intoverflow-alloc,1,meta-llama llama-3.1-8b-instruct,ok,20.056,5,1636,True,True,True,
synthetic,intoverflow-alloc,1,nvidia nemotron-3-nano-30b-a3b,ok,23.884,3,0,False,False,False,
synthetic,intoverflow-alloc,1,openai gpt-4o,ok,22.594,6,1414,True,True,True,
synthetic,intoverflow-alloc,1,openai gpt-5.5,ok,24.105,6,2972,True,True,True,
synthetic,intoverflow-alloc,1,qwen qwen3-30b-a3b-instruct-2507,ok,32.779,11,0,False,False,False,
synthetic,intoverflow-alloc,1,x-ai grok-4,ok,95.239,5,481,False,False,False,
synthetic,intoverflow-alloc,3,anthropic claude-sonnet-4.5,ok,14.704,1,150,False,False,False,
synthetic,intoverflow-alloc,3,google gemini-3.1-flash-lite-preview,ok,31.281,29,29,False,False,False,
synthetic,intoverflow-alloc,3,meta-llama llama-3.1-8b-instruct,ok,22.203,7,2029,True,True,True,
synthetic,intoverflow-alloc,3,nvidia nemotron-3-nano-30b-a3b,ok,52.44,0,6647,False,False,False,
synthetic,intoverflow-alloc,3,openai gpt-4o,ok,14.72,3,2276,True,True,True,
synthetic,intoverflow-alloc,3,openai gpt-5.5,ok,43.88,10,3767,False,False,False,
synthetic,intoverflow-alloc,3,qwen qwen3-30b-a3b-instruct-2507,ok,22.167,7,4396,False,False,False,
synthetic,intoverflow-alloc,3,x-ai grok-4,ok,109.82,2,4965,False,False,False,
synthetic,null-deref-env,1,anthropic claude-sonnet-4.5,ok,37.402,9,3028,True,True,True,
synthetic,null-deref-env,1,google gemini-3.1-flash-lite-preview,ok,10.813,6,0,False,False,False,
synthetic,null-deref-env,1,meta-llama llama-3.1-8b-instruct,ok,45.622,8,3825,True,True,True,
synthetic,null-deref-env,1,nvidia nemotron-3-nano-30b-a3b,timeout,578.114,,0,False,False,False,
synthetic,null-deref-env,1,openai gpt-4o,ok,23.272,5,1177,True,True,True,recovered_from_tool_output
synthetic,null-deref-env,1,openai gpt-5.5,ok,19.88,4,608,False,False,False,
synthetic,null-deref-env,1,qwen qwen3-30b-a3b-instruct-2507,ok,14.941,3,1892,False,False,False,
synthetic,null-deref-env,1,x-ai grok-4,ok,123.169,12,1956,True,True,True,
synthetic,null-deref-env,3,anthropic claude-sonnet-4.5,ok,47.412,11,4158,True,True,True,
synthetic,null-deref-env,3,google gemini-3.1-flash-lite-preview,ok,14.566,9,2131,False,False,False,
synthetic,null-deref-env,3,meta-llama llama-3.1-8b-instruct,ok,33.999,4,5227,True,True,True,
synthetic,null-deref-env,3,nvidia nemotron-3-nano-30b-a3b,ok,22.098,0,6113,False,False,False,
synthetic,null-deref-env,3,openai gpt-4o,ok,13.371,0,2557,True,True,True,
synthetic,null-deref-env,3,openai gpt-5.5,ok,31.344,5,3637,False,False,False,
