tier,case_id,model_full,model,status,judge_status,rc,lf,gf,total,num_tool_calls,prompt_tokens,completion_tokens,tokens,cost_estimated_usd,cost_reported_usd,cost_source,elapsed_s
1,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,7,24207,1830,26037,0.0,0.0562662,unknown,38.189072370529175
1,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,2,4155,336,4491,0.0,0.00154275,unknown,21.25604248046875
1,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,,0,0,0,0,1,891,1500,2391,0.0,0.0,unknown,17.91617512702942
1,crashbench-abo1,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,8039,1762,9801,0.0,0.0,unknown,38.27380895614624
1,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,5,10665,676,11341,0.0,0.0,unknown,13.601030588150024
2,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,6,21709,1137,22846,0.0,0.082182,unknown,26.98732280731201
2,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,3,5837,98,5935,0.0,0.00160625,unknown,3.7397401332855225
2,crashbench-abo1,openrouter/openai/gpt-5.5,gpt-5.5,ok,,0,0,0,0,5,13329,1343,14672,0.0,0.0,unknown,36.31285238265991
2,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,5,16321,1004,17325,0.0,0.0,unknown,22.68128514289856
3,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,,0,0,0,0,0,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,,0,0,0,0,32,4795,348,5143,0.0,0.04447824999999998,unknown,28.817476987838745
3,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,no_prose_synthesis,0,0,0,0,1,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo1,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,19,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,,0,0,0,0,4,3376,281,3657,0.0,0.0,unknown,8.05678915977478
