panel,case,tier,model,source_sweep,source_cell,timeout,elapsed_s,bound
synthetic,cjson-parse-string-oob,3,openrouter/openai/gpt-5.5,injected-cases,cjson-parse-string-oob__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,245.41,false
synthetic,cjson-parse-string-oob,3,openrouter/google/gemini-3.1-flash-lite-preview,injected-cases,cjson-parse-string-oob__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,600,26.17,false
synthetic,cjson-parse-string-oob,3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,injected-cases,cjson-parse-string-oob__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,600,24.56,false
synthetic,cjson-parse-string-oob,3,openrouter/nvidia/nemotron-3-nano-30b-a3b,injected-cases,cjson-parse-string-oob__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,600,58.67,false
synthetic,double-free-errpath,1,openrouter/openai/gpt-5.5,xtier-t1,double-free-errpath__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,600,30.85,false
synthetic,double-free-errpath,3,openrouter/openai/gpt-5.5,xtier-t3,double-free-errpath__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,600,54.07,false
synthetic,double-free-errpath,1,openrouter/x-ai/grok-4,xtier-t1,double-free-errpath__tier1__openrouter_x-ai_grok-4__tier1_bash_only__ctx10__t1,600,83.48,false
synthetic,double-free-errpath,3,openrouter/x-ai/grok-4,xtier-t3,double-free-errpath__tier3__openrouter_x-ai_grok-4__tier3_gdb_only__ctx10__t1,600,85.84,false
synthetic,double-free-errpath,1,openrouter/anthropic/claude-sonnet-4.5,xtier-t1,double-free-errpath__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,600,17.69,false
synthetic,double-free-errpath,3,openrouter/anthropic/claude-sonnet-4.5,xtier-t3,double-free-errpath__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,600,10.15,false
