run_id,case_id,model,tool_config,context_lines,tier,trial,status,elapsed_s,exit_code,root_cause,local_fix,global_fix,judge_status,judge_model,mut_input_tokens,mut_output_tokens,num_tool_calls,tool_frequency_json,total_code_length
berry-1__tier1__openrouter_google_gemini-2.5-flash__tier1_bash_only__ctx10__t1,berry-1,openrouter/google/gemini-2.5-flash,tier1_bash_only.json,10,1,1,ok,145.052,0,0,0,0,ok,openrouter/openai/gpt-4o,747242,4941,100,"{""berry"": 89, ""cat"": 2, ""find"": 1, ""grep"": 8}",0
berry-1__tier1__openrouter_meta-llama_llama-3.1-8b-instruct__tier1_bash_only__ctx10__t1,berry-1,openrouter/meta-llama/llama-3.1-8b-instruct,tier1_bash_only.json,10,1,1,timeout,540.789,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,berry-1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,540.759,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier1__openrouter_openai_gpt-4o__tier1_bash_only__ctx10__t1,berry-1,openrouter/openai/gpt-4o,tier1_bash_only.json,10,1,1,ok,316.042,0,0,0,0,ok,openrouter/openai/gpt-4o,1393053,18581,96,"{""berry"": 1, ""find"": 1, ""cat"": 3, ""grep"": 4, ""echo"": 87}",0
berry-1__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,berry-1,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,timeout,540.845,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,berry-1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,timeout,540.822,-1,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier3__openrouter_google_gemini-2.5-flash__tier3_gdb_only__ctx10__t1,berry-1,openrouter/google/gemini-2.5-flash,tier3_gdb_only.json,10,3,1,ok,62.284,0,0,0,0,ok,openrouter/openai/gpt-4o,9874,2625,65,"{""code"": 5, ""b"": 7, ""r"": 5, ""p"": 34, ""up"": 1, ""d"": 1, ""del"": 5, ""bt"": 2, ""x/i"": 2, ""n"": 1, ""run"": 2}",484
berry-1__tier3__openrouter_meta-llama_llama-3.1-8b-instruct__tier3_gdb_only__ctx10__t1,berry-1,openrouter/meta-llama/llama-3.1-8b-instruct,tier3_gdb_only.json,10,3,1,ok,31.027,0,0,0,0,ok,openrouter/openai/gpt-4o,3948,385,4,"{""bt"": 1, ""code"": 1, ""print"": 2}",1819
berry-1__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,berry-1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,no_collect,62.944,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
berry-1__tier3__openrouter_openai_gpt-4o__tier3_gdb_only__ctx10__t1,berry-1,openrouter/openai/gpt-4o,tier3_gdb_only.json,10,3,1,ok,38.808,0,0,0,0,ok,openrouter/openai/gpt-4o,2431,880,6,"{""info"": 1, ""code"": 5}",257
berry-1__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,berry-1,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,no_collect,41.588,137,0,0,0,ok,openrouter/openai/gpt-4o,0,0,0,{},0
