source,case_id,tier,model,status,elapsed_s,tool_calls,response_len,has_rc,has_lf,has_gf,response_source,has_collect
local,bc-heap-overflow,1,anthropic/claude-sonnet-4.5,ok,78.89,15,5718,True,True,True,recovered_from_tool_output_partial_prose,True
local,berry-1,1,anthropic/claude-sonnet-4.5,no_collect,9.143,,0,False,False,False,,False
local,berry-2,1,anthropic/claude-sonnet-4.5,ok,256.661,102,96,False,False,False,,True
local,berry-3,1,anthropic/claude-sonnet-4.5,no_collect,10.366,,0,False,False,False,,False
local,berry-4,1,anthropic/claude-sonnet-4.5,ok,289.011,102,121,False,False,False,,True
local,berry-5,1,anthropic/claude-sonnet-4.5,ok,147.313,39,9759,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo2,1,anthropic/claude-sonnet-4.5,ok,48.333,8,2839,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo8,1,anthropic/claude-sonnet-4.5,ok,50.798,8,3167,True,True,True,recovered_from_tool_output_partial_prose,True
local,man-overflow,1,anthropic/claude-sonnet-4.5,build_failed,0.0,,0,False,False,False,,False
local,ncompress-overflow,1,anthropic/claude-sonnet-4.5,ok,86.953,20,5196,True,True,True,recovered_from_tool_output_partial_prose,True
local,polymorph-overflow,1,anthropic/claude-sonnet-4.5,ok,81.342,16,7011,True,True,True,recovered_from_tool_output_partial_prose,True
local,bc-heap-overflow,1,google/gemini-2.5-flash,ok,46.29,6,4776,True,True,True,,True
local,crashbench-abo1,1,google/gemini-2.5-flash,ok,38.068,5,2555,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo2,1,google/gemini-2.5-flash,ok,31.373,5,2303,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo3,1,google/gemini-2.5-flash,ok,27.242,5,2399,True,True,True,,True
local,crashbench-abo5,1,google/gemini-2.5-flash,ok,26.818,5,3649,True,True,True,recovered_from_tool_output_partial_prose,True
local,crashbench-abo7,1,google/gemini-2.5-flash,ok,23.543,5,2212,True,True,True,,True
local,crashbench-abo8,1,google/gemini-2.5-flash,ok,18.574,5,2374,True,True,True,,True
