sweep,case,tier,rc,lf,gf,tools,blocked,right_file,prompt_has_source,judge_model,resp_len
pre-fix,yara-1,tier3,0,0,0,6,0,0,0,openrouter/openai/gpt-4o-mini,692
pre-fix,yara-2,tier3,0,0,0,10,2,0,0,openrouter/openai/gpt-4o-mini,2777
pre-fix,yara-3,tier3,0,0,0,11,4,0,0,openrouter/openai/gpt-4o-mini,3929
pre-fix,yara-4,tier3,0,0,0,2,0,0,0,openrouter/openai/gpt-4o-mini,2
pre-fix,yara-5,tier3,0,0,0,5,0,0,0,openrouter/openai/gpt-4o-mini,806
post-fix1 (Tier3Driver),yara-1,tier3,0,0,0,4,1,0,0,openrouter/openai/gpt-4o-mini,1409
post-fix1 (Tier3Driver),yara-2,tier3,0,0,0,8,1,0,0,openrouter/openai/gpt-4o-mini,2442
post-fix1 (Tier3Driver),yara-3,tier3,0,0,0,7,0,0,0,openrouter/openai/gpt-4o-mini,2411
post-fix1 (Tier3Driver),yara-4,tier3,0,0,0,11,0,0,0,openrouter/openai/gpt-4o-mini,10
post-fix1 (Tier3Driver),yara-5,tier3,0,0,0,10,1,0,0,openrouter/openai/gpt-4o-mini,2602
post-fix2 (DockerDriver),yara-1,tier3,0,0,0,20,0,0,1,openrouter/openai/gpt-4o-mini,2737
post-fix2 (DockerDriver),yara-2,tier3,0,0,0,14,0,1,1,openrouter/openai/gpt-4o-mini,1917
post-fix2 (DockerDriver),yara-3,tier3,0,0,0,54,0,1,1,openrouter/openai/gpt-4o-mini,3336
post-fix2 (DockerDriver),yara-4,tier3,0,0,0,14,0,1,1,openrouter/openai/gpt-4o-mini,3301
post-fix2 (DockerDriver),yara-5,tier3,0,0,0,0,0,0,1,openrouter/openai/gpt-4o-mini,0
